week,matchup,roster_a,team_a,roster_b,team_b,changed
35,2,3,"Flabiano9",7,"rmeernst",0
35,3,4,"benditlikebergvall",9,"JordiCarb",0
35,4,5,"brendog2814",12,"Noahvillasana17",0
35,5,6,"bjennings28",10,"erozier",0
35,6,8,"cstoney20",11,"mdropkin",0
36,1,1,"willmoran",10,"erozier",0
36,2,2,"skoeiboy",12,"Noahvillasana17",1
36,3,3,"Flabiano9",8,"cstoney20",1
36,4,4,"benditlikebergvall",5,"brendog2814",0
36,5,6,"bjennings28",11,"mdropkin",0
36,6,7,"rmeernst",9,"JordiCarb",0
37,1,1,"willmoran",6,"bjennings28",0
37,2,2,"skoeiboy",9,"JordiCarb",0
37,3,3,"Flabiano9",12,"Noahvillasana17",1
37,4,4,"benditlikebergvall",8,"cstoney20",0
37,5,5,"brendog2814",7,"rmeernst",0
37,6,10,"erozier",11,"mdropkin",1
38,1,1,"willmoran",7,"rmeernst",1
38,2,2,"skoeiboy",5,"brendog2814",0
38,3,3,"Flabiano9",6,"bjennings28",0
38,4,4,"benditlikebergvall",8,"cstoney20",1
38,5,9,"JordiCarb",10,"erozier",0
38,6,11,"mdropkin",12,"Noahvillasana17",1
